Time,Cases,Close,next_Close
406,60144,4870.160156,5749.879883
408,61515,5139.410156,5322.410156
409,62145,5304.509766,5322.410156
411,62974,5664.419922,4954.810059
412,63808,5749.879883,4955.859863
414,65401,5485.529785,4902.200195
415,66181,5322.410156,4902.189941
418,67919,4954.810059,4911.0
419,68811,4955.859863,4897.640137
420,69578,4910.640137,4924.669922
421,70321,4902.200195,4941.77002
422,71060,4902.189941,4983.589844
425,72629,4911.0,4990.009766
426,73397,4897.640137,5003.720215
427,74100,4924.669922,4930.970215
428,74795,4941.77002,4611.049805
429,75401,4983.589844,4845.100098
432,76816,4990.009766,5071.910156
433,77471,5003.720215,5316.109863
434,78043,4930.970215,5316.109863
435,78593,4611.049805,5693.540039
436,79079,4845.100098,5693.540039
437,79440,4789.450195,5301.189941
439,80086,5071.910156,5301.189941
440,80446,5316.109863,5010.060059
442,81416,5693.540039,5037.140137
444,82175,5301.189941,5037.140137
445,82402,5499.339844,5037.140137
447,83041,5010.060059,5049.22998
448,83364,5003.870117,5058.779785
449,83708,5037.140137,5118.959961
450,83982,5117.290039,5151.410156
453,84575,5127.72998,5183.790039
454,84861,5049.22998,5162.089844
455,85147,5058.779785,5127.27002
456,85380,5118.959961,5131.180176
457,85636,5151.410156,5119.75
460,86185,5183.790039,4765.129883
461,86427,5162.089844,4765.129883
462,86656,5127.27002,5168.089844
463,86930,5131.180176,5168.089844
464,87131,5119.75,5168.089844
465,87328,4599.390137,5689.580078
466,87437,4783.120117,5689.580078
467,87572,4765.129883,5347.450195
469,88094,5168.089844,5347.450195
472,88812,5689.580078,5347.450195
474,89076,5347.450195,5160.720215
475,89333,5509.0,5213.319824
478,89961,5156.009766,5188.540039
481,90508,5160.720215,5176.350098
482,90792,5213.319824,5176.330078
483,91009,5139.600098,5157.930176
484,91240,5152.5,5177.060059
485,91457,5188.540039,5217.279785
488,91826,5176.350098,5217.279785
489,92014,5176.330078,5217.279785
490,92167,5157.930176,5217.279785
491,92310,5177.060059,5217.279785
492,92437,5217.279785,4977.299805
499,93217,4977.299805,4977.299805
500,93319,5153.359863,5322.410156
502,93443,5402.720215,5375.72998
503,93582,5698.410156,5354.22998
504,93683,5785.419922,5360.120117
505,93764,5280.319824,5319.649902
507,93907,5322.410156,5319.649902
509,94001,5375.72998,5299.669922
510,94094,5354.22998,5328.100098
511,94172,5360.120117,5285.459961
512,94236,5319.649902,5340.450195
513,94327,5274.140137,5340.450195
516,94545,5299.669922,5352.529785
517,94657,5328.100098,5370.660156
518,94767,5285.459961,5331.77002
519,94911,5340.450195,4738.240234
523,95518,5352.529785,5220.160156
524,95748,5370.660156,5316.72998
525,96009,5331.77002,5443.700195
526,96205,4738.240234,5443.700195
529,96706,4995.120117,5443.700195
530,96814,5220.160156,5519.709961
531,97057,5316.72998,5528.069824
532,97317,5443.700195,5549.109863
534,97893,5786.899902,5510.549805
535,98201,5352.589844,5510.549805
537,98510,5519.709961,5398.140137
538,98840,5528.069824,5475.580078
539,99182,5549.109863,5546.640137
540,99564,5515.470215,5583.720215
541,99946,5510.549805,5661.200195
544,100756,5398.140137,5679.27002
545,101176,5475.580078,5625.490234
546,101600,5546.640137,5610.47998
547,102068,5583.720215,5655.160156
548,102555,5661.200195,5626.259766
551,103685,5679.27002,4820.149902
552,104455,5625.490234,4873.799805
553,105180,5610.47998,5002.0
554,105990,5655.160156,5002.0
555,106762,5626.259766,5326.299805
557,107866,4730.629883,5326.299805
558,108343,4820.149902,5706.629883
559,109236,4873.799805,5366.47998
560,110076,5002.0,5514.069824
562,111736,5326.299805,5720.089844
563,112421,5383.319824,5720.089844
565,113443,5706.629883,5676.890137
566,114479,5366.47998,5668.680176
567,115305,5514.069824,5681.220215
568,116228,5504.75,5579.850098
569,117017,5720.089844,5606.200195
572,118628,5676.890137,5656.100098
573,119396,5668.680176,5667.100098
574,120137,5681.220215,5689.819824
575,120845,5579.850098,5686.259766
576,121515,5606.200195,5707.759766
579,123024,5656.100098,5713.72998
580,123706,5667.100098,5669.939941
581,124315,5689.819824,5669.939941
582,125014,5686.259766,4777.529785
583,125624,5707.759766,4901.009766
586,127231,5713.72998,5325.609863
587,127975,5669.939941,5443.410156
589,129273,4777.529785,5684.109863
590,129923,4901.009766,5684.109863
591,130443,5022.169922,5475.790039
593,131125,5325.609863,5644.490234
594,131706,5443.410156,5611.790039
595,132228,5684.560059,5573.259766
596,132710,5684.109863,5568.0
598,133665,5475.790039,5568.0
599,133994,5478.049805,5568.0
600,134277,5644.490234,5383.790039
601,134810,5611.790039,5404.689941
602,135290,5573.259766,5500.870117
603,135744,5568.0,5554.419922
604,136180,5489.720215,5465.620117
607,137094,5383.790039,5445.060059
608,137583,5404.689941,5300.879883
609,138072,5500.870117,5332.339844
610,138556,5554.419922,5349.02002
611,139036,5465.620117,5349.02002
614,140114,5445.060059,5349.02002
615,140798,5300.879883,5202.310059
616,141441,5332.339844,5301.910156
617,142110,5349.02002,5301.910156
619,143259,4789.209961,5656.77002
620,143614,4909.609863,5656.77002
622,144740,5202.310059,5452.240234
623,145469,5301.910156,5377.419922
625,146826,5700.040039,5468.319824
626,147422,5656.77002,5468.319824
628,148246,5470.27002,5444.330078
629,148937,5452.240234,5473.180176
630,149547,5377.419922,5498.149902
631,150185,5439.720215,5448.379883
632,150743,5468.319824,5509.5
635,151968,5444.330078,5491.689941
636,152629,5473.180176,5511.640137
637,153179,5498.149902,5492.790039
638,153695,5448.379883,5443.259766
639,154318,5509.5,5388.560059
642,155661,5491.689941,4689.240234
643,156454,5511.640137,4821.5
644,157134,5492.790039,4961.370117
645,157774,5443.259766,4961.370117
646,158364,5388.560059,5104.069824
649,159863,4689.240234,5712.830078
650,160836,4821.5,5712.830078
651,161591,4961.370117,5350.620117
653,163164,5104.069824,5350.620117
654,164006,5344.660156,5350.620117
656,165028,5712.830078,5519.839844
658,166983,5350.620117,5560.839844
659,167951,5518.370117,5502.22998
663,171020,5519.839844,5511.529785
664,172272,5537.069824,5433.209961
665,173471,5560.839844,5427.810059
666,174641,5502.22998,5483.839844
667,175856,5494.97998,5291.799805
670,178513,5511.529785,5362.790039
671,179935,5433.209961,5301.069824
672,181273,5427.810059,4748.330078
673,182528,5483.839844,4863.390137
674,183804,5291.799805,4946.899902
677,186688,5362.790039,4946.899902
678,188390,5301.069824,5487.470215
679,189817,4748.330078,5712.25
680,191261,4863.390137,5712.25
681,192729,4946.899902,5349.319824
682,194258,4985.689941,5519.529785
683,195230,5103.390137,5519.529785
685,197310,5487.470215,5373.890137
686,199235,5712.25,5405.129883
688,202676,5349.319824,5435.879883
689,204479,5519.529785,5435.879883
691,206872,5430.450195,5358.580078
692,209228,5373.890137,5427.529785
693,211061,5405.129883,5472.589844
694,213160,5469.100098,5534.490234
695,215150,5435.879883,5534.490234
698,220690,5358.580078,5584.77002
699,223730,5427.529785,5605.850098
700,226899,5472.589844,5581.27002
701,230436,5534.490234,5571.970215
705,242588,5584.77002,5571.970215
706,249246,5605.850098,5571.970215
707,256119,5581.27002,5571.970215
708,263504,5571.970215,5571.970215
711,281702,5378.200195,5571.970215
722,373398,5591.060059,5525.129883
723,381673,5523.509766,5356.509766
726,401722,5544.509766,5126.620117
727,411849,5507.200195,5185.240234
728,421013,5494.209961,5274.22998
729,429525,5525.129883,5251.640137
730,437573,5356.509766,5227.370117
733,453833,5126.620117,5301.799805
734,461001,5185.240234,5301.799805
735,464394,5274.22998,5375.669922
736,470665,5251.640137,5375.669922
737,475431,5227.370117,5375.669922
740,489870,5301.799805,5375.669922
742,501152,5375.669922,5375.669922
754,582383,5146.870117,5375.669922
755,586809,5209.259766,5375.669922
756,592765,5229.529785,5375.669922
757,600718,5151.890137,5375.669922
758,605046,5115.390137,5375.669922
769,657443,5595.779785,5375.669922
770,658559,5288.850098,5375.669922
